name,color,price,sizes,link,image,code
SB Dunk Low Pro,Barcelona   ,"R$ 649,99",[],"https://www.nike.com.br/sb-dunk-low-pro-513-514-515-346215,",,DJ0606-400
Nike x Stüssy,Blusão ,"R$ 1.599,99",[],"https://www.nike.com.br/nike-x-stussy-153-169-211-283935,",https://images.lojanike.com.br/1024x1024/produto/nike-x-stussy-DC1084-101-1.jpg,
Nike x Stüssy,Blusão ,"R$ 1.599,99",[],"https://www.nike.com.br/nike-x-stussy-153-169-211-283935,",,
Nike x Stüssy,Saia ,"R$ 1.199,99",[],"https://www.nike.com.br/nike-x-stussy-1-16-210-283903,",https://images.lojanike.com.br/1024x1024/produto/nike-x-stussy-DC1088-100-1.jpg,DC1088-100
Women's Air Jordan 1 Low OG,Neutral Grey ,"R$ 899,99",[],"https://www.nike.com.br/womens-air-jordan-1-low-og-1-16-210-315577,",https://images.lojanike.com.br/1024x1024/produto/tenis-wmns-air-jordan-1-low-og-CZ0775-100-1.jpg,CZ0775-100
Women\'s Dunk High,Lemon Twist ,"R$ 799,99",[],"https://www.nike.com.br/womens-dunk-high-1-16-210-341455,",https://images.lojanike.com.br/1024x1024/produto/tenis-w-nike-dunk-high-DD1869-108-1-11624383752.jpg,DD1869-108
Women\'s Dunk Low,Light Soft Pink ,"R$ 749,99",[],"https://www.nike.com.br/womens-dunk-low-1-16-210-341286,",https://images.lojanike.com.br/1024x1024/produto/tenis-w-nike-dunk-low-DD1503-600-1-11624383745.jpg,DD1503-600
LDWaffle x SACAI x CLOT,Orange Blaze ,"R$ 1.199,99",[],"https://www.nike.com.br/ldwaffle-x-sacai-x-clot-153-169-211-350263,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-ldwaffle-s-c-DH1347-100-1-11630421016.jpg,DH1347-100
W NIKE DUNK LOW,Light Bone ,"R$ 749,99",[],"https://www.nike.com.br/w-nike-dunk-low-1-16-210-341271,",https://images.lojanike.com.br/1024x1024/produto/tenis-w-nike-dunk-low-DD1503-107-1-11622138300.jpg,DD1503-107
AIR JORDAN 1 RETRO HIGH OG PRO,Prototype ,"R$ 1.199,99",[],"https://www.nike.com.br/air-jordan-1-retro-high-og-pro-153-169-211-340554,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-retro-high-og-pro-masculino-DC6515-100-1-11629381345.jpg,DC6515-100
NIKE DUNK LOW SCRAP,ARCHEO BROWN ,"R$ 649,99",[],"https://www.nike.com.br/nike-dunk-low-scrap-153-169-211-339105,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-scrap-DB0500-200-1-11628003737.jpg,
NIKE DUNK LOW SCRAP,SEA GLASS ,"R$ 649,99",[],"https://www.nike.com.br/nike-dunk-low-scrap-153-169-211-339088,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-scrap-DB0500-100-1-11628003728.jpg,DB0500-100
AIR JORDAN 1 HIGH WOMENS CMFT,LEMON TWIST ,"R$ 999,99",[],"https://www.nike.com.br/air-jordan-1-high-womens-cmft-1-16-210-326196,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-zoom-air-confort-feminino-CT0979-200-1-11621954989.jpg,
Nike Dunk Low Retro,UNIVERSTY RED ,"R$ 749,99","['44', '45']","https://www.nike.com.br/nike-dunk-low-retro-153-169-211-341232,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-retro-DD1391-600-1-11624383736.jpg,DD1391-600
Nike Dunk Low Retro,Georgetown ,"R$ 749,99",[],"https://www.nike.com.br/nike-dunk-low-retro-153-169-211-341215,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-retro-DD1391-003-1-11628870133.jpg,
Nike Dunk Low Retro,WHITE BLACK ,"R$ 749,99",[],"https://www.nike.com.br/nike-dunk-low-retro-153-169-211-303045,",https://images.lojanike.com.br/1024x1024/produto/dunk-low-DD1391-100-1.jpg,
Air Jordan 1 Hi FlyEase,FlyEase ,"R$ 899,99",[],"https://www.nike.com.br/air-jordan-1-hi-flyease-153-169-211-333331,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-hi-flyease-CQ3835-011-1-11621539805.jpg,CQ3835-011
Nike SB Dunk Low Pro,Laser Blue ,"R$ 649,99",[],"https://www.nike.com.br/nike-sb-dunk-low-pro-513-514-515-332731,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-sb-dunk-low-pro-BQ6817-101-1-11624978768.jpg,BQ6817-101
Dunk Low,99 BLACK ,"R$ 799,99",['45'],"https://www.nike.com.br/dunk-low-153-169-211-322971,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-se-DH0952-001-1.jpg,DH0952-001
Dunk Low x UNDEFEATED,5 On It ,"R$ 699,99",[],"https://www.nike.com.br/dunk-low-x-undefeated-153-169-211-350488,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-sp-DH6508-400-1-11628603955.jpg,DH6508-400
Nike SB Dunk Low Pro,Red Plum ,"R$ 649,99",['38'],"https://www.nike.com.br/nike-sb-dunk-low-pro-513-514-515-332751,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-sb-dunk-low-pro-BQ6817-501-1-11624978779.jpg,
Air Jordan 1 Low,Starfish ,"R$ 999,99",[],"https://www.nike.com.br/air-jordan-1-low-153-169-211-336143,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-low-og-CZ0790-801-1-11623160726.jpg,CZ0790-801
Women\'s Air Jordan 1 Low,Starfish ,"R$ 999,99",[],"https://www.nike.com.br/womens-air-jordan-1-low-1-16-210-336128,",https://images.lojanike.com.br/1024x1024/produto/tenis-wmns-air-jordan-1-low-og-CZ0775-801-1-11621540456.jpg,CZ0775-801
Dunk Low,Black Multi-Camo ,"R$ 799,99","['38', '39', '40', '41', '42', '43', '44', '45', '46']","https://www.nike.com.br/dunk-low-153-169-211-345295,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-se-DH0957-001-1-11625585253.jpg,DH0957-001
Dunk Low,Cider ,"R$ 749,99","['38', '39', '40', '41', '42', '43', '44', '45']","https://www.nike.com.br/dunk-low-153-169-211-345246,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-retro-prm-DH0601-001-1-11626788942.jpg,DH0601-001
Dunk High,Light Chocolate ,"R$ 749,99",[],"https://www.nike.com.br/dunk-high-153-169-211-345821,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-hi-retro-prm-DH5348-100-1-11626788969.jpg,DH5348-100
Dunk High 1985,Black Acid Wash ,"R$ 799,99","['36', '37', '38', '39', '39,5', '40', '40,5', '42', '42,5', '43', '44', '46']","https://www.nike.com.br/dunk-high-1985-153-169-211-350241,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-hi-1985-sp-DD9404-700-1-11628003814.jpg,DD9404-700
Dunk High 1985,Red Acid Wash ,"R$ 799,99","['36', '37', '38', '39', '39,5', '40', '40,5', '42', '42,5', '43', '44', '46']","https://www.nike.com.br/dunk-high-1985-153-169-211-350219,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-hi-1985-sp-DD9404-600-1-11628003802.jpg,DD9404-600
Dunk Low,Sail Multi-Camo ,"R$ 799,99","['38', '39', '40', '41', '43']","https://www.nike.com.br/dunk-low-513-514-515-345312,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-se-DH0957-100-1-11625585262.jpg,DH0957-100
Women's Air Jordan 1 High Og,Seafoam ,"R$ 1.199,99",[],"https://www.nike.com.br/womens-air-jordan-1-high-og-1-16-210-332974,",https://images.lojanike.com.br/1024x1024/produto/tenis-wmns-air-jordan-1-high-og-CD0461-002-1-11621539675.jpg,CD0461-002
Dunk High x AMBUSH,Flash Lime ,"R$ 1.199,99",[],"https://www.nike.com.br/dunk-high-x-ambush-513-514-515-349627,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-hi-ambush-CU7544-300-1-11626788809.jpg,CU7544-300
SB Dunk High Pro,Maize and Black ,"R$ 699,99",[],"https://www.nike.com.br/sb-dunk-high-pro-513-514-515-339298,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-sb-dunk-high-pro-unissex-DB1640-001-1-11624383716.jpg,DB1640-001
Dunk Low Infantil (24-33),Black and White ,"R$ 399,99",[],"https://www.nike.com.br/dunk-low-infantil-24-33-67-80-445-295183,",https://images.lojanike.com.br/1024x1024/produto/dunk-low-infantil-26-335-CW1588-100-1.jpg,CW1588-100
SB Dunk Low Pro,Barcelona   ,"R$ 649,99","['37', '38']","https://www.nike.com.br/sb-dunk-low-pro-513-514-515-346215,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-sb-dunk-low-pro-unissex-DJ0606-400-1-11626190355.jpg,DJ0606-400
Air Jordan 1 Retro High Boys,Electro Orange ,"R$ 899,99",[],"https://www.nike.com.br/air-jordan-1-retro-high-boys-153-169-211-332182,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-retro-high-og-bg-575441-180-1-11621539421.jpg,575441-180
Air Jordan 1 Retro High,Electro Orange ,"R$ 1.199,99",[],"https://www.nike.com.br/air-jordan-1-retro-high-153-169-211-326118,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-retro-high-og-555088-180-1.jpg,555088-180
Women's Air Jordan 1,Court Purple ,"R$ 1.199,99",['35'],"https://www.nike.com.br/womens-air-jordan-1-1-16-210-310017,",https://images.lojanike.com.br/1024x1024/produto/tenis-wmns-air-jordan-1-high-og-CD0461-151-1.jpg,CD0461-151
Dunk High x Fragment design,Black ,"R$ 499,99","['28', '30']","https://www.nike.com.br/dunk-high-x-fragment-design-67-80-445-331125,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-hi-f-bp-DJ4285-600-1-11622138336.jpg,DJ4285-600
Air Jordan 1 Low OG,Neutral Grey ,"R$ 899,99",[],"https://www.nike.com.br/air-jordan-1-low-og-153-169-211-315618,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-low-og-CZ0790-100-1.jpg,CZ0790-100
Nike Dunk Low,Zebra ,"R$ 799,99",[],"https://www.nike.com.br/nike-dunk-low-153-169-211-323268,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-retro-prm-DH7913-001-1-11622138310.jpg,DH7913-001
